Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_002453	2015-03-31 17:13:00	Chiba, Chiba, Japan	35.6253 N 140.1020 E	7	19.8	38.0	0.0	1.0
omgseq_002461	2015-03-31 17:50:34	Chiba, Chiba, Japan	35.6266 N 140.1021 E	7	19.8	38.0	0.0	1.0
omgseq_002470	2015-04-03 14:34:00	Kanagawa, Yokohama, Japan	35.3052 N 139.2902 E	7	18.4	90.0	0.0	0.0
omgseq_002488	2015-04-03 14:44:00	Kanagawa, Yokohama, Japan	35.3052 N 139.2902 E	0	18.4	90.0	0.0	0.0
omgseq_002496	2015-04-04 18:26:00	Kanagawa, Yokohama, Japan	35.2723 N 139.3819 E	12	11.9	70.0	0.0	0.0
omgseq_002500	2015-04-04 19:39:00	Kanagawa, Yokohama, Japan	35.2715 N 139.3756 E	12	11.3	67.0	0.0	0.0
omgseq_002518	2015-03-28 17:20:00	Kanagawa, Odawara, Japan	35.1839 N 139.0855 E	0	18.5	not collected	0.0	1.0
omgseq_002526	2015-03-28 17:25:00	Kanagawa, Odawara, Japan	35.1839 N 139.0854 E	1	18.5	not collected	0.0	1.0
omgseq_002534	2015-03-30 14:30:00	Kanagawa, Sagamihara, Japan	35.3158 N 139.2552 E	0	not collected	not collected	0.0	not collected
omgseq_002542	2015-03-30 14:20:00	Kanagawa, Sagamihara, Japan	35.3158 N 139.2552 E	2	not collected	not collected	0.0	not collected
omgseq_002551	2015-03-31 09:45:00	Kanagawa, Odawara, Japan	35.1836 N 139.0856 E	0	16.6	not collected	0.0	1.0
omgseq_002569	2015-03-31 09:50:00	Kanagawa, Odawara, Japan	35.1836 N 139.0856 E	4	16.6	not collected	0.0	1.0
omgseq_002577	2015-03-30 22:05:00	Tokyo, Kunitachi, Japan	35.6900 N 139.4500 E	3	14.4	not collected	0.0	not collected
omgseq_002585	2015-03-30 22:15:00	Tokyo, Kunitachi, Japan	35.6900 N 139.4500 E	3	14.4	not collected	0.0	not collected
omgseq_002593	2015-05-04 16:30:00	Nagano, Kitasaku, Japan	36.3508 N 138.5955 E	not collected	23.5	not collected	0.0	0.2
omgseq_002607	2015-05-04 16:30:00	Nagano, Kitasaku, Japan	36.3508 N 138.5955 E	not collected	23.5	not collected	0.0	0.2
omgseq_002615	2015-05-04 17:20:00	Nagano, Kitasaku, Japan	36.3596 N 138.6090 E	not collected	22.2	not collected	0.0	0.2
omgseq_002623	2015-05-04 17:20:00	Nagano, Kitasaku, Japan	36.3596 N 138.6090 E	not collected	22.2	not collected	0.0	0.2
omgseq_002631	2015-05-05 16:00:00	Nagano, Kitasaku, Japan	36.2975 N 138.6208 E	not collected	21.0	not collected	0.0	1.0
omgseq_002640	2015-05-05 16:00:00	Nagano, Kitasaku, Japan	36.2975 N 138.6208 E	not collected	21.0	not collected	0.0	1.0
omgseq_002658	2015-05-05 16:40:00	Nagano, Kitasaku, Japan	36.2988 N 138.6227 E	not collected	21.0	not collected	0.0	1.0
omgseq_002666	2015-05-05 16:40:00	Nagano, Kitasaku, Japan	36.2988 N 138.6227 E	not collected	21.0	not collected	0.0	1.0
omgseq_002712	2015-03-31 14:00:00	Kanagawa, Sagamihara, Japan	35.5400 N 139.3958 E	3	not collected	not collected	0.0	not collected
omgseq_002721	2015-04-02 14:14:40	Kanagawa, Sagamihara, Japan	35.5400 N 139.3958 E	5	not collected	not collected	0.0	not collected
